gate,cls_threshold,mask_threshold,gate_pass_rate,avg_num_keep,any_fg_pre_keep_rate,any_fg_post_keep_rate,max_cls_prob_mean,max_mask_prob_mean,image_forged_prob_mean
-1.0,0.05,0.5,1.0,10.98918083462133,0.9619397217928902,0.7293276661514683,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.1,0.5,1.0,9.518740340030911,0.9619397217928902,0.6414219474497682,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.2,0.5,1.0,0.9350850077279753,0.9619397217928902,0.23241885625965997,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.3,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.4,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.5,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.6,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.7,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.8,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
-1.0,0.9,0.5,1.0,0.0,0.9619397217928902,0.0,0.13591084023595715,0.9533603162601625,0.5274475088699377
